Language,Index,Word
be,0,аборт
be,1,анальны
be,2,анус
be,3,задніца
be,4,асёл прыдурак
be,5,аслы
be,6,мудак
be,7,прыдуркі
be,8,ballbag
be,9,яйкі
be,10,вырадак
be,11,bellend
be,12,распусныя
be,13,скотства
be,14,сука
be,15,сукі
be,16,скуголіць
be,17,крывавы
be,18,мінэту
be,19,bollok
be,20,дурань
be,21,цыцкі
be,22,грудзі
be,23,бусета
be,24,прыклад
be,25,дыван muncher
be,26,траскатня
be,27,cipa
be,28,клітар
be,29,кран
be,30,кран-прысоска
be,31,пеўні
be,32,янот
be,33,дзярмо
be,34,сперма
be,35,cunillingus
be,36,піздзіць
be,37,блін
be,38,хер
be,39,фалаімітатар
be,40,фалаімітатары
be,41,дзінка
be,42,сабака-засранец
be,43,дуче
be,44,дамба
be,45,эякулят
be,46,усклікаць
be,47,эякулюе
be,48,ejaculating
be,49,эякуляцыя
be,50,підарам
be,51,fagging
be,52,педзікам
be,53,жопа
be,54,фельчинг
be,55,фелляция
be,56,фланец
be,57,ебать
be,58,трахал
be,59,ебарь
be,60,лохі
be,61,чортаў
be,62,fuckings
be,63,трахаецца
be,64,помадка пакер
be,65,бог праклятая
be,66,праклён
be,67,пекла
be,68,hore
be,69,рагавой
be,70,прыдурак-оф
be,71,кок
be,72,палавыя вусны
be,73,юрлівасць
be,74,любацерпцаў
be,75,мазахіст
be,76,мастурбаваць
be,77,маці засранец
be,78,нацыст
be,79,негр
be,80,негры
be,81,orgasim
be,82,аргазм
be,83,аргазмы
be,84,дзюбу
be,85,пеніс
be,86,сцаць
be,87,п'яны
be,88,pisser
be,89,пісае
be,90,ссание
be,91,pissoff
be,92,мардаваць
be,93,порна
be,94,парнаграфія
be,95,калоць
be,96,уколаў
be,97,pube
be,98,кисок
be,99,шапіках
be,100,згвалтаванне
be,101,гвалтаўнік
be,102,прамая кішка
be,103,запазненне
be,104,римминг
be,105,садыст
be,106,зашрубоўвання
be,107,мошонка
be,108,сэкс
be,109,махорка
be,110,транссэксуал
be,111,ситэ
be,112,годзіць
be,113,shitted
be,114,какание
be,115,сраный
be,116,skank
be,117,шлюха
be,118,неахайны
be,119,смегма
be,120,галавешка
be,121,ўрваць
be,122,"сын, сукін"
be,123,упп
be,124,труць
be,125,яечка
be,126,titt
be,127,дристун
be,128,похву
be,129,віягра
be,130,вульва
be,131,вана
be,132,ананізм
be,133,х па рэйтынгу
be,134,ххх
bg,0,аборт
bg,1,анален
bg,2,анус
bg,3,задник
bg,4,гъза шибаняк
bg,5,магарета
bg,6,гъзове
bg,7,ballbag
bg,8,топки
bg,9,копеле
bg,10,bellend
bg,11,животински
bg,12,бруталност
bg,13,кучка
bg,14,кучки
bg,15,оплакваш
bg,16,кървав
bg,17,свирка
bg,18,bollok
bg,19,гаф
bg,20,бозки
bg,21,гърди
bg,22,buceta
bg,23,скитник
bg,24,приклад
bg,25,килим
bg,26,пролука
bg,27,cipa
bg,28,клитор
bg,29,петел
bg,30,петел издънка
bg,31,петли
bg,32,миеща мечка
bg,33,глупости
bg,34,заедно с
bg,35,празнене
bg,36,cunillingus
bg,37,вагина
bg,38,проклет
bg,39,кур
bg,40,вибратор
bg,41,вибратори
bg,42,динк
bg,43,куче-шибаняк
bg,44,duche
bg,45,дига
bg,46,изхвърлям
bg,47,еякулира
bg,48,еякулират
bg,49,възклицание
bg,50,педераст
bg,51,fagging
bg,52,педали
bg,53,фелчинг
bg,54,фелацио
bg,55,фланец
bg,56,мамка
bg,57,прецака
bg,58,шибаняк
bg,59,шибаняци
bg,60,шибан
bg,61,fuckings
bg,62,чука
bg,63,фъджъри
bg,64,проклетата
bg,65,ад
bg,66,хоур
bg,67,рогов
bg,68,идиот изключване
bg,69,кок
bg,70,срамни устни
bg,71,похот
bg,72,пожелаването
bg,73,мазохист
bg,74,маструбирам
bg,75,майка шибаняк
bg,76,нацистки
bg,77,негър
bg,78,негри
bg,79,orgasim
bg,80,оргазъм
bg,81,оргазми
bg,82,пенис
bg,83,пикая
bg,84,пиян-залян
bg,85,pisser
bg,86,вбесява
bg,87,пикаене
bg,88,pissoff
bg,89,ако
bg,90,порнография
bg,91,порно
bg,92,убождане
bg,93,тръни
bg,94,pube
bg,95,путки
bg,96,котенце
bg,97,изнасилване
bg,98,насилник
bg,99,ректум
bg,100,спъвам
bg,101,език в анус
bg,102,садист
bg,103,завинтване
bg,104,скротум
bg,105,сперма
bg,106,секс
bg,107,дяволица
bg,108,shagging
bg,109,шимейлс
bg,110,лайна
bg,111,shitted
bg,112,серат
bg,113,лайнян
bg,114,skank
bg,115,уличница
bg,116,курви
bg,117,смегма
bg,118,цинизми
bg,119,посягане
bg,120,син на кучи
bg,121,spac
bg,122,кураж
bg,123,тестис
bg,124,цица
bg,125,цици
bg,126,titt
bg,127,лайно
bg,128,виагра
bg,129,вулва
bg,130,уан
bg,131,ванк
bg,132,курва
bg,133,x оценен
bg,134,ххх
ca,0,avortament
ca,1,anal
ca,2,anus
